i,bplus_s,brute_s
251,2.5949993869289756e-06,5.059000613982789e-06
252,6.100999598857015e-06,5.080000846646726e-06
253,8.506000085617416e-06,5.289999535307288e-06
254,3.858000127365813e-06,5.259998943074606e-06
255,6.652999218204059e-06,5.149999196873978e-06
256,3.5369994293432683e-06,5.208999937167391e-06
257,4.659001206164248e-06,5.0889993872260675e-06
258,2.9149996407795697e-06,5.460999091155827e-06
259,2.8960002964595333e-06,5.32000012753997e-06
260,2.7250007406109944e-06,5.390998921939172e-06
261,2.675000359886326e-06,5.339999916031957e-06
262,2.8150006983196363e-06,5.289999535307288e-06
263,3.946999640902504e-06,5.440000677481294e-06
264,2.9359998734435067e-06,5.280000550555997e-06
265,5.710999175789766e-06,5.5799991969252005e-06
266,5.440000677481294e-06,5.420000888989307e-06
267,5.7609995565144345e-06,5.349998900783248e-06
268,2.794999090838246e-06,5.600000804406591e-06
269,4.03700141760055e-06,6.0109996411483735e-06
270,2.6749985408969223e-06,5.480000254465267e-06
271,2.724998921621591e-06,5.459998646983877e-06
272,3.827000909950584e-06,5.5199998314492404e-06
273,2.7759997465182096e-06,5.720999979530461e-06
274,2.544999006204307e-06,5.761001375503838e-06
275,2.5450008251937106e-06,5.570000212173909e-06
276,5.650999810313806e-06,5.610998414340429e-06
277,2.804999894578941e-06,5.6609987950650975e-06
278,2.804999894578941e-06,5.761001375503838e-06
279,2.5350000214530155e-06,5.670999598805793e-06
280,3.8670004869345576e-06,5.820998921990395e-06
281,4.397999873617664e-06,5.77100036025513e-06
282,2.634998963912949e-06,5.600000804406591e-06
283,2.554999809945002e-06,5.591000444837846e-06
284,3.907000063918531e-06,5.83099972573109e-06
285,2.595001205918379e-06,6.150999979581684e-06
286,3.667000783025287e-06,6.001000656397082e-06
287,6.002001100569032e-06,5.7110009947791696e-06
288,3.787001332966611e-06,5.841000529471785e-06
289,2.393999238847755e-06,5.7609995565144345e-06
290,3.496999852359295e-06,5.900999894947745e-06
291,4.0480008465237916e-06,5.9709982451749966e-06
292,6.2519993662135676e-06,5.8610003179637715e-06
293,2.5149984139716253e-06,5.821000740979798e-06
294,5.199999577598646e-06,5.992000296828337e-06
295,4.579000233206898e-06,5.791000148747116e-06
296,2.745000529102981e-06,6.012000085320324e-06
297,3.827999535133131e-06,5.83099972573109e-06
298,2.9650000215042382e-06,5.9710000641644e-06
299,2.5049994292203337e-06,5.960999260423705e-06
300,3.727000148501247e-06,6.131000191089697e-06
301,2.8349986678222194e-06,5.670000973623246e-06
302,3.836999894701876e-06,6.141000994830392e-06
303,7.123000614228658e-06,6.4420000853715464e-06
304,2.704999133129604e-06,6.082000254536979e-06
305,3.6769997677765787e-06,6.0109996411483735e-06
306,2.99500061373692e-06,6.211999789229594e-06
307,4.489000275498256e-06,6.0109996411483735e-06
308,3.0360006348928437e-06,6.202000804478303e-06
309,2.8550002753036097e-06,6.1920000007376075e-06
310,2.655000571394339e-06,6.102000043028966e-06
311,2.7149999368702993e-06,6.2519993662135676e-06
312,6.231000952539034e-06,5.780999345006421e-06
313,2.734999725362286e-06,6.1110004025977105e-06
314,2.6249999791616574e-06,6.472000677604228e-06
315,3.887000275426544e-06,6.181999196996912e-06
316,2.655000571394339e-06,6.242000381462276e-06
317,3.847000698442571e-06,6.4329997258028015e-06
318,2.745000529102981e-06,6.221998773980886e-06
319,2.5649987946962938e-06,7.012999049038626e-06
320,2.393999238847755e-06,7.344000550801866e-06
321,2.5050012482097372e-06,6.262000169954263e-06
322,4.187999365967698e-06,6.431999281630851e-06
323,2.4649998522363603e-06,6.2519993662135676e-06
324,4.13799898524303e-06,6.472000677604228e-06
